Country,Subregion,Region,UN R,UN P,CIA R,CIA P4,World Bank Gini %,Year,,,,,,,,,
 Albania,Southern Europe,Europe,7.2,4.2,7.2,2004,29.4,2020,,,,,,,,,
 Algeria,Northern Africa,Africa,9.6,4,9.6,1995,27.6,2011,,,,,,,,,
 Angola,Middle Africa,Africa,,9,,,51.3,2018,,,,,,,,,
 Argentina,South America,Americas,31.6,8.8,35,2007,40.7,2022,,,,,,,,,
 Armenia,Western Asia,Asia,8,5,25.8,2004,27.9,2022,,,,,,,,,
 Australia,"Australia, New Zealand",Oceania,12.5,6.3,12.7,1994,34.3,2018,,,,,,,,,
 Austria,Western Europe,Europe,6.9,4.9,6.8,2004,30.7,2021,,,,,,,,,
 Azerbaijan,Western Asia,Asia,9.7,,9.5,2001,26.6,2005,,,,,,,,,
 Bangladesh,Southern Asia,Asia,7.5,4.8,7.5,2000,33.4,2022,,,,,,,,,
 Belarus,Eastern Europe,Europe,6.9,3.6,6.9,2002,24.4,2020,,,,,,,,,
 Belgium,Western Europe,Europe,8.2,4.2,8.3,2000,26.6,2021,,,,,,,,,
 Belize,Central America,Americas,28.8,,19.9,2013,53.3,1999,,,,,,,,,
 Benin,Western Africa,Africa,9.4,16.3,9.4,2003,34.4,2021,,,,,,,,,
 Bhutan,Southern Asia,Asia,,6.6,,,28.5,2022,,,,,,,,,
 Bolivia,South America,Americas,93.9,11.8,157.3,2002,40.9,2021,,,,,,,,,
 Bosnia and Herzegovina,Southern Europe,Europe,5.4,5.4,5.5,2001,33,2011,,,,,,,,,
 Botswana,Southern Africa,Africa,43,15,,,53.3,2015,,,,,,,,,
 Brazil,South America,Americas,16.5,21.1,16.3,2013,52,2022,,,,,,,,,
 Bulgaria,Eastern Europe,Europe,7,7.3,8.8,2005,39,2021,,,,,,,,,
 Burkina Faso,Western Africa,Africa,11.6,5.3,11.5,2003,37.4,2021,,,,,,,,,
 Burundi,Eastern Africa,Africa,19.3,6.7,19.3,1998,37.5,2020,,,,,,,,,
 Cambodia,South-eastern Asia,Asia,12.2,,12,2004,36,2013,,,,,,,,,
 Cameroon,Middle Africa,Africa,15.7,11.5,15.4,2001,42.2,2021,,,,,,,,,
 Canada,Northern America,Americas,9.4,6.2,9.5,2000,31.7,2019,,,,,,,,,
 Cape Verde,Western Africa,Africa,,10.7,,,42.4,2015,,,,,,,,,
 Central African Republic,Middle Africa,Africa,69.2,18.5,68.1,1993,43,2021,,,,,,,,,
 Chad,Middle Africa,Africa,,10,,,37.4,2022,,,,,,,,,
 Chile,South America,Americas,26.2,11.2,32.1,2003,43,2022,,,,,,,,,
 China,Eastern Asia,Asia,21.6,10.2,21.8,2004,37.1,2020,,,,,,,,,
 Colombia,South America,Americas,60.4,13.4,56.3,2008,54.8,2022,,,,,,,,,
 Comoros,Eastern Africa,Africa,,11.2,,,45.3,2014,,,,,,,,,
 DR Congo,Middle Africa,Africa,,8.8,,,44.7,2020,,,,,,,,,
 Congo,Middle Africa,Africa,,12.8,,,48.9,2011,,,,,,,,,
 Costa Rica,Central America,Americas,23.4,12.3,37.3,2003,47.2,2022,,,,,,,,,
 Ivory Coast,Western Africa,Africa,16.6,8.4,17,2002,35.3,2021,,,,,,,,,
 Croatia,Southern Europe,Europe,7.3,5.3,7.2,2003,28.9,2021,,,,,,,,,
 Cyprus,Western Asia,Asia,,5.3,,,31.3,2021,,,,,,,,,
 Czech Republic,Eastern Europe,Europe,5.2,3.7,5.2,1996,26.2,2021,,,,,,,,,
 Denmark,Northern Europe,Europe,8.1,4,12,2000,28.3,2021,,,,,,,,,
 Djibouti,Eastern Africa,Africa,,8.8,,,41.6,2017,,,,,,,,,
 Dominican Republic,Caribbean,Americas,25.3,10.5,18.8,2012,37,2022,,,,,,,,,
 Ecuador,South America,Americas,35.2,10.7,17.5,2006,45.5,2022,,,,,,,,,
 Egypt,Northern Africa,Africa,8,4.6,8,2000,31.9,2019,,,,,,,,,
 El Salvador,Central America,Americas,38.6,7,55.4,2002,38.8,2022,,,,,,,,,
 Estonia,Northern Europe,Europe,10.8,5.4,11,2003,31.8,2021,,,,,,,,,
 Eswatini,Southern Africa,Africa,25.1,14.2,25.4,2001,54.6,2016,,,,,,,,,
 Ethiopia,Eastern Africa,Africa,6.6,7.1,6.5,2000,35,2015,,,,,,,,,
 European Union,Europe,,,,8.6,2015,30.6,2012,,,,,,,,,
