#,Country,Population,Yearly Change,Net Change,Density P/Km²,Land Area Km²,Migrants (nets),Fertility Rate,median age,Urban Pop %,World Share
1,India,"1,428,627,663",0.81%,"11,454,490",481,"2,973,190","-486,136",2,28,36%,17.76%
2,China,"1,425,671,352",-0.02%,"-215,985",152,"9,388,211","-310,220",1.2,39,65%,17.72%
3,United States,"339,996,563",0.50%,"1,706,706",37,"9,147,420","999,700",1.7,38,83%,4.23%
4,Indonesia,"277,534,122",0.74%,"2,032,783",153,"1,811,570","-49,997",2.1,30,59%,3.45%
5,Pakistan,"240,485,658",1.98%,"4,660,796",312,"770,880","-165,988",3.3,21,35%,2.99%
6,Nigeria,"223,804,632",2.41%,"5,263,420",246,"910,770","-59,996",5.1,17,54%,2.78%
7,Brazil,"216,422,446",0.52%,"1,108,948",26,"8,358,140","6,000",1.6,34,88%,2.69%
8,Bangladesh,"172,954,319",1.03%,"1,767,947","1,329","130,170","-309,977",1.9,27,41%,2.15%
9,Russia,"144,444,359",-0.19%,"-268,955",9,"16,376,870","-136,414",1.5,39,75%,1.80%
10,Mexico,"128,455,567",0.75%,"951,442",66,"1,943,950","-50,239",1.8,30,88%,1.60%
11,Ethiopia,"126,527,060",2.55%,"3,147,136",127,"1,000,000","-11,999",4,19,22%,1.57%
12,Japan,"123,294,513",-0.53%,"-657,179",338,"364,555","99,994",1.3,49,94%,1.53%
13,Philippines,"117,337,368",1.54%,"1,778,359",394,"298,170","-69,996",2.7,25,47%,1.46%
14,Egypt,"112,716,598",1.56%,"1,726,495",113,"995,450","-29,998",2.8,24,41%,1.40%
15,DR Congo,"102,262,808",3.29%,"3,252,596",45,"2,267,050","-14,999",6.1,16,46%,1.27%
16,Vietnam,"98,858,950",0.68%,"672,094",319,"310,070","-82,700",1.9,33,40%,1.23%
17,Iran,"89,172,767",0.70%,"622,197",55,"1,628,550","-39,998",1.7,33,74%,1.11%
18,Turkey,"85,816,199",0.56%,"474,958",112,"769,630","-318,067",1.9,32,77%,1.07%
19,Germany,"83,294,633",-0.09%,"-75,210",239,"348,560","155,751",1.5,45,77%,1.04%
20,Thailand,"71,801,279",0.15%,"104,249",141,"510,890","18,999",1.3,40,52%,0.89%
21,United Kingdom,"67,736,802",0.34%,"227,866",280,"241,930","165,790",1.6,40,85%,0.84%
22,Tanzania,"67,438,106",2.96%,"1,940,358",76,"885,800","-39,997",4.6,17,38%,0.84%
23,France,"64,756,584",0.20%,"129,956",118,"547,557","67,761",1.8,42,84%,0.80%
24,South Africa,"60,414,495",0.87%,"520,610",50,"1,213,090","58,496",2.3,28,69%,0.75%
25,Italy,"58,870,762",-0.28%,"-166,712",200,"294,140","58,496",1.3,48,72%,0.73%
26,Kenya,"55,100,586",1.99%,"1,073,099",97,"569,140","-10,000",3.2,20,31%,0.68%
27,Myanmar,"54,577,997",0.74%,"398,691",84,"653,290","-34,998",2.1,30,33%,0.68%
28,Colombia,"52,085,168",0.41%,"211,144",47,"1,109,500","-175,051",1.7,32,81%,0.65%
29,South Korea,"51,784,059",-0.06%,"-31,751",533,"97,230","29,998",0.9,44,82%,0.64%
30,Uganda,"48,582,334",2.82%,"1,332,749",243,"199,810","-126,181",4.4,16,29%,0.60%
31,Sudan,"48,109,006",2.63%,"1,234,802",27,"1,765,048","-9,999",4.3,19,35%,0.60%
32,Spain,"47,519,628",-0.08%,"-39,002",95,"498,800","39,998",1.3,45,80%,0.59%
33,Argentina,"45,773,884",0.58%,"263,566",17,"2,736,690","3,718",1.9,32,94%,0.57%
34,Algeria,"45,606,480",1.57%,"703,255",19,"2,381,740","-9,999",2.8,28,75%,0.57%
35,Iraq,"45,504,560",2.27%,"1,008,438",105,"434,320","-6,000",3.4,20,71%,0.57%
36,Afghanistan,"42,239,854",2.70%,"1,111,083",65,"652,860","-65,846",4.4,17,26%,0.53%
37,Poland,"41,026,067",2.93%,"1,168,922",134,"306,230","-910,475",1.5,40,55%,0.51%
38,Canada,"38,781,291",0.85%,"326,964",4,"9,093,510","249,746",1.5,41,81%,0.48%
39,Morocco,"37,840,044",1.02%,"382,073",85,"446,300","-39,998",2.3,29,66%,0.47%
40,Saudi Arabia,"36,947,025",1.48%,"538,205",17,"2,149,690","28,998",2.4,31,83%,0.46%
41,Ukraine,"36,744,634",-7.45%,"-2,957,105",63,"579,320","1,784,718",1.3,45,82%,0.46%
42,Angola,"36,684,202",3.08%,"1,095,215",29,"1,246,700","-1,000",5.1,16,68%,0.46%
43,Uzbekistan,"35,163,944",1.55%,"536,292",83,"425,400","-19,999",2.8,27,49%,0.44%
44,Yemen,"34,449,825",2.24%,"753,211",65,"527,970","-29,914",3.6,19,37%,0.43%
45,Peru,"34,352,719",0.89%,"303,131",27,"1,280,000","-61,442",2.1,29,79%,0.43%
46,Malaysia,"34,308,525",1.09%,"370,304",104,"328,550","48,997",1.8,31,78%,0.43%
47,Ghana,"34,121,985",1.93%,"646,115",150,"227,540","-9,999",3.5,21,57%,0.42%
48,Mozambique,"33,897,354",2.81%,"927,836",43,"786,380","-5,000",4.5,17,40%,0.42%
49,Nepal,"30,896,590",1.14%,"349,010",216,"143,350","-62,012",2,24,22%,0.38%
50,Madagascar,"30,325,732",2.41%,"714,018",52,"581,795","-1,500",3.7,19,40%,0.38%
51,Côte d'Ivoire,"28,873,034",2.53%,"712,492",91,"318,000","6,000",4.3,18,52%,0.36%
52,Venezuela,"28,838,499",1.90%,"536,803",33,"882,050","321,106",2.2,28,N.A.,0.36%
53,Cameroon,"28,647,293",2.63%,"732,757",61,"472,710","-4,800",4.3,18,58%,0.36%
54,Niger,"27,202,843",3.80%,"994,866",21,"1,266,700","1,000",6.7,15,17%,0.34%
55,Australia,"26,439,111",1.00%,"261,698",3,"7,682,300","139,991",1.6,38,86%,0.33%
56,North Korea,"26,160,821",0.35%,"91,405",217,"120,410","-2,000",1.8,36,63%,0.33%
57,Taiwan,"23,923,276",0.13%,"29,882",676,"35,410","23,999",1.2,42,80%,0.30%
58,Mali,"23,293,698",3.10%,"700,108",19,"1,220,190","-39,998",5.8,15,44%,0.29%
59,Burkina Faso,"23,251,485",2.55%,"577,723",85,"273,600","-24,998",4.6,17,32%,0.29%
60,Syria,"23,227,014",4.98%,"1,101,765",126,"183,630","757,103",2.7,22,53%,0.29%
61,Sri Lanka,"21,893,579",0.28%,"61,436",349,"62,710","-77,495",2,33,19%,0.27%
62,Malawi,"20,931,751",2.58%,"526,434",222,"94,280","-6,000",3.8,17,19%,0.26%
63,Zambia,"20,569,737",2.76%,"552,062",28,"743,390","-5,000",4.2,17,46%,0.26%
64,Romania,"19,892,812",1.19%,"233,545",86,"230,170","-254,616",1.7,41,53%,0.25%
65,Chile,"19,629,590",0.13%,"25,857",26,"743,532","-71,205",1.5,36,85%,0.24%
66,Kazakhstan,"19,606,633",1.08%,"208,635",7,"2,699,700",0,3,30,57%,0.24%
67,Chad,"18,278,568",3.13%,"555,253",15,"1,259,200","-2,000",6.1,15,24%,0.23%
68,Ecuador,"18,190,484",1.05%,"189,484",73,"248,360","-21,525",2,28,64%,0.23%
69,Somalia,"18,143,378",3.10%,"545,867",29,"627,340","-30,000",6.1,15,46%,0.23%
70,Guatemala,"18,092,026",1.39%,"248,118",169,"107,160","-9,110",2.3,23,55%,0.22%
71,Senegal,"17,763,163",2.58%,"446,714",92,"192,530","-19,999",4.3,18,52%,0.22%
72,Netherlands,"17,618,299",0.31%,"54,285",522,"33,720","29,998",1.6,42,92%,0.22%
73,Cambodia,"16,944,826",1.06%,"176,984",96,"176,520","-29,998",2.3,27,26%,0.21%
74,Zimbabwe,"16,665,409",2.11%,"344,872",43,"386,850","-9,999",3.4,18,37%,0.21%
75,Guinea,"14,190,612",2.39%,"331,271",58,"245,720","-4,000",4.2,18,40%,0.18%
76,Rwanda,"14,094,683",2.31%,"317,985",571,"24,670","-8,999",3.7,19,18%,0.18%
77,Benin,"13,712,828",2.70%,"359,964",122,"112,760",-200,4.8,18,48%,0.17%
78,Burundi,"13,238,559",2.71%,"348,983",516,"25,680","2,000",4.9,16,15%,0.16%
79,Tunisia,"12,458,223",0.83%,"102,106",80,"155,360","-4,000",2,32,69%,0.15%
80,Bolivia,"12,388,571",1.35%,"164,461",11,"1,083,300","-3,000",2.5,24,69%,0.15%
81,Haiti,"11,724,763",1.21%,"139,767",425,"27,560","-31,811",2.7,23,60%,0.15%
82,Belgium,"11,686,140",0.26%,"30,210",386,"30,280","23,999",1.6,41,99%,0.15%
83,Jordan,"11,337,052",0.45%,"51,183",128,"88,780","-157,392",2.7,24,85%,0.14%
84,Dominican Republic,"11,332,972",0.93%,"104,151",235,"48,320","-29,099",2.2,28,85%,0.14%
85,Cuba,"11,194,449",-0.16%,"-17,742",105,"106,440","-6,000",1.5,41,80%,0.14%
86,South Sudan,"11,088,796",1.61%,"175,632",18,"610,952","-23,291",4.3,17,28%,0.14%
87,Sweden,"10,612,086",0.59%,"62,739",26,"410,340","39,998",1.7,40,86%,0.13%
88,Honduras,"10,593,798",1.54%,"160,938",95,"111,890","-5,034",2.3,24,58%,0.13%
89,Czech Republic (Czechia),"10,495,295",0.01%,"1,309",136,"77,240","22,011",1.7,43,75%,0.13%
90,Azerbaijan,"10,412,651",0.53%,"54,577",126,"82,658",0,1.7,32,57%,0.13%
91,Greece,"10,341,277",-0.42%,"-43,694",80,"128,900","5,000",1.4,45,86%,0.13%
92,Papua New Guinea,"10,329,931",1.85%,"187,312",23,"452,860",-800,3.1,22,12%,0.13%
93,Portugal,"10,247,605",-0.23%,"-23,260",112,"91,590","9,999",1.4,46,67%,0.13%
94,Hungary,"10,156,239",1.90%,"188,931",112,"90,530","-156,677",1.6,42,68%,0.13%
95,Tajikistan,"10,143,543",1.92%,"190,756",72,"139,960","-19,999",3.1,22,28%,0.13%
96,United Arab Emirates,"9,516,871",0.80%,"75,742",114,"83,600",0,1.4,34,94%,0.12%
97,Belarus,"9,498,238",-0.39%,"-36,716",47,"202,910","-4,282",1.5,41,80%,0.12%
98,Israel,"9,174,520",1.51%,"136,211",424,"21,640","9,999",2.9,29,92%,0.11%
99,Togo,"9,053,799",2.32%,"205,100",166,"54,390","-2,000",4.1,19,44%,0.11%
100,Austria,"8,958,960",0.22%,"19,343",109,"82,409","19,999",1.5,43,59%,0.11%
101,Switzerland,"8,796,669",0.64%,"56,197",223,"39,516","39,998",1.5,42,75%,0.11%
102,Sierra Leone,"8,791,092",2.15%,"185,374",122,"72,180","-4,000",3.8,19,43%,0.11%
103,Laos,"7,633,779",1.39%,"104,304",33,"230,800","-9,999",2.4,24,37%,0.09%
104,Hong Kong,"7,491,609",0.04%,"2,744","7,135","1,050","19,999",0.8,46,N.A.,0.09%
105,Serbia,"7,149,077",-1.00%,"-72,288",82,"87,460","-9,999",1.5,43,69%,0.09%
106,Nicaragua,"7,046,310",1.41%,"97,918",59,"120,340","-8,000",2.3,25,56%,0.09%
107,Libya,"6,888,388",1.12%,"76,047",4,"1,759,540","-2,000",2.4,27,82%,0.09%
108,Paraguay,"6,861,524",1.19%,"80,780",17,"397,300","-12,499",2.4,26,67%,0.09%
109,Kyrgyzstan,"6,735,347",1.58%,"104,724",35,"191,800","-9,999",2.9,24,37%,0.08%
110,Bulgaria,"6,687,717",-1.39%,"-94,236",62,"108,560","-4,800",1.6,45,78%,0.08%
111,Turkmenistan,"6,516,100",1.33%,"85,330",14,"469,930","-4,000",2.6,26,52%,0.08%
112,El Salvador,"6,364,943",0.45%,"28,551",307,"20,720","-23,249",1.8,27,78%,0.08%
113,Congo,"6,106,869",2.29%,"136,445",18,"341,500","-1,000",4,18,70%,0.08%
114,Singapore,"6,014,723",0.65%,"39,034","8,592",700,"26,998",1,43,N.A.,0.07%
115,Denmark,"5,910,913",0.49%,"28,652",139,"42,430","19,999",1.7,41,88%,0.07%
116,Slovakia,"5,795,199",2.69%,"151,746",121,"48,088","-112,067",1.6,40,51%,0.07%
117,Central African Republic,"5,742,315",2.92%,"163,171",9,"622,980","-14,716",5.8,15,40%,0.07%
118,Finland,"5,545,475",0.09%,"4,730",18,"303,890","13,999",1.4,43,87%,0.07%
119,Norway,"5,474,360",0.74%,"40,041",15,"365,268","27,998",1.5,40,86%,0.07%
120,Liberia,"5,418,377",2.18%,"115,696",56,"96,320","-5,000",4,18,54%,0.07%
121,State of Palestine,"5,371,230",2.31%,"121,158",892,"6,020","-5,000",3.4,20,83%,0.07%
122,Lebanon,"5,353,930",-2.47%,"-135,809",523,"10,230","-177,331",2.1,29,97%,0.07%
123,New Zealand,"5,228,100",0.83%,"42,812",20,"263,310","12,999",1.8,37,82%,0.06%
124,Costa Rica,"5,212,173",0.60%,"31,344",102,"51,060","3,750",1.5,34,82%,0.06%
125,Ireland,"5,056,935",0.67%,"33,826",73,"68,890","9,999",1.8,38,64%,0.06%
126,Mauritania,"4,862,989",2.68%,"126,850",5,"1,030,700","3,000",4.3,18,61%,0.06%
127,Oman,"4,644,384",1.49%,"68,086",15,"309,500",0,2.5,29,N.A.,0.06%
128,Panama,"4,468,087",1.35%,"59,506",60,"74,340","7,262",2.3,29,70%,0.06%
129,Kuwait,"4,310,108",0.97%,"41,235",242,"17,820","11,999",2.1,40,N.A.,0.05%
130,Croatia,"4,008,617",-0.54%,"-21,741",72,"55,960","-2,000",1.4,44,59%,0.05%
131,Eritrea,"3,748,901",1.76%,"64,869",37,"101,000","-15,297",3.7,19,67%,0.05%
132,Georgia,"3,728,282",-0.43%,"-16,103",54,"69,490","-9,999",2.1,37,63%,0.05%
133,Mongolia,"3,447,157",1.44%,"48,791",2,"1,553,560",-850,2.7,27,67%,0.04%
134,Moldova,"3,435,931",4.98%,"162,935",105,"32,850","-125,204",1.8,35,50%,0.04%
135,Uruguay,"3,423,108",0.01%,314,20,"175,020","-1,500",1.5,36,99%,0.04%
136,Puerto Rico,"3,260,314",0.24%,"7,907",368,"8,870","19,835",1.3,44,N.A.,0.04%
137,Bosnia and Herzegovina,"3,210,847",-0.70%,"-22,679",63,"51,000",-500,1.3,42,54%,0.04%
138,Albania,"2,832,439",-0.35%,"-9,882",103,"27,400","-8,000",1.4,38,67%,0.04%
139,Jamaica,"2,825,544",-0.06%,"-1,833",261,"10,830","-10,999",1.3,32,59%,0.04%
140,Armenia,"2,777,970",-0.09%,"-2,499",98,"28,470","-5,000",1.6,35,67%,0.03%
141,Gambia,"2,773,168",2.48%,"67,176",274,"10,120","-3,000",4.5,17,58%,0.03%
142,Lithuania,"2,718,352",-1.15%,"-31,703",43,"62,674","-13,128",1.6,44,71%,0.03%
143,Qatar,"2,716,391",0.79%,"21,269",234,"11,610",0,1.8,34,N.A.,0.03%
144,Botswana,"2,675,352",1.71%,"45,056",5,"566,730","3,000",2.7,24,69%,0.03%
145,Namibia,"2,604,172",1.45%,"37,160",3,"823,290","-3,916",3.2,21,60%,0.03%
146,Gabon,"2,436,566",1.99%,"47,574",9,"257,670","1,000",3.4,22,85%,0.03%
147,Lesotho,"2,330,318",1.06%,"24,493",77,"30,360","-4,000",2.9,22,31%,0.03%
148,Guinea-Bissau,"2,150,842",2.15%,"45,276",76,"28,120","-1,400",3.8,19,45%,0.03%
149,Slovenia,"2,119,675",-0.01%,-169,105,"20,140","2,000",1.6,44,55%,0.03%
150,North Macedonia,"2,085,679",-0.38%,"-7,920",83,"25,220","-1,000",1.4,39,60%,0.03%
151,Latvia,"1,830,211",-1.10%,"-20,440",29,"62,200","-7,630",1.6,44,69%,0.02%
152,Equatorial Guinea,"1,714,671",2.37%,"39,763",61,"28,050","4,000",4.1,21,67%,0.02%
153,Trinidad and Tobago,"1,534,937",0.25%,"3,893",299,"5,130",-800,1.6,36,48%,0.02%
154,Bahrain,"1,485,509",0.90%,"13,276","1,955",760,0,1.8,34,N.A.,0.02%
155,Timor-Leste,"1,360,596",1.44%,"19,300",91,"14,870","-5,000",3,21,35%,0.02%
156,Estonia,"1,322,765",-0.25%,"-3,297",31,"42,390","-1,000",1.7,42,68%,0.02%
157,Mauritius,"1,300,557",0.08%,"1,088",641,"2,030",0,1.4,37,40%,0.02%
